name,marketCap
ソニーグループ,211553
任天堂,132855
日立製作所,182959
キーエンス,163557
ソフトバンクグループ,138341
トヨタ自動車,469663
三菱UFJフィナンシャル・グループ,238759
リクルートホールディングス,180327
三井住友フィナンシャルグループ,151800
ファーストリテイリング,162388
