"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","時価総額(百万円)"
"2670","エービーシー・マート","東P","2977.5","-42.5(-1.41%)","2,977.5","737,285"
"2674","ハードオフコーポレーション","東P","1934","+4.0(+0.21%)","1,934.0","26,987"
"2676","高千穂交易","東P","4090","+5.0(+0.12%)","4,090.0","41,603"
"2678","アスクル","東P","1659","+31.0(+1.90%)","1,659.0","157,226"
"2681","ゲオＨＬＤＧ","東P","1758","+17.0(+0.98%)","1,758.0","69,811"
"2685","アダストリア","東P","3050","-70.0(-2.24%)","3,050.0","148,840"
"268A","リガク・ＨＬＤＧ","東P","1144","+23.0(+2.05%)","1,144.0","257,707"
"2692","伊藤忠食品","東P","7420","-80.0(-1.07%)","7,420.0","94,382"
"2695","くら寿司","東P","2591","-11.0(-0.42%)","2,591.0","107,266"
"2726","パルグループＨＬＤＧ","東P","3215","-40.0(-1.23%)","3,215.0","297,529"
"2730","エディオン","東P","1734","-20.0(-1.14%)","1,734.0","194,218"
"2733","あらた","東P","3220","-50.0(-1.53%)","3,220.0","116,105"
"2734","サーラコーポレーション","東P","795","+3.0(+0.38%)","795.0","52,503"
"2737","トーメンデバイス","東P","6230","+90.0(+1.47%)","6,230.0","42,376"
"2742","ハローズ","東P","3970","+5.0(+0.13%)","3,970.0","85,180"
"2749","ＪＰ　ＨＬＤＧ","東P","536","-7.0(-1.29%)","536.0","47,087"
"2752","フジオフードグループ本社","東P","1147","+7.0(+0.61%)","1,147.0","58,774"
"2753","あみやき亭","東P","1588","-8.0(-0.50%)","1,588.0","32,628"
"2760","東京エレクトロン　デバイス","東P","3265","+20.0(+0.62%)","3,265.0","102,314"
"2767","円谷フィールズＨＬＤＧ","東P","1560","-83.0(-5.05%)","1,560.0","102,069"
"2768","双日","東P","3269.0","-20.0(-0.61%)","3,269.0","735,525"
"2784","アルフレッサＨＬＤＧ","東P","2093.0","+11.5(+0.55%)","2,093.0","424,544"
"2791","大黒天物産","東P","7050","-180.0(-2.49%)","7,050.0","102,206"
"2792","ハニーズＨＬＤＧ","東P","1656","-7.0(-0.42%)","1,656.0","46,202"
"2801","キッコーマン","東P","1461.5","-8.0(-0.54%)","1,461.5","1,416,801"
"2802","味の素","東P","6104.0","-156.0(-2.49%)","6,104.0","3,102,754"
"2804","ブルドックソース","東P","1749","+23.0(+1.33%)","1,749.0","24,407"
"2809","キユーピー","東P","2817.5","-1.5(-0.05%)","2,817.5","398,676"
"2810","ハウス食品グループ本社","東P","2794.0","+20.0(+0.72%)","2,794.0","275,205"
"2811","カゴメ","東P","2906.5","+30.5(+1.06%)","2,906.5","272,882"
"2815","アリアケジャパン","東P","6090","-30.0(-0.49%)","6,090.0","199,805"
"285A","キオクシアＨＬＤＧ","東P","2423","+64.0(+2.71%)","2,423.0","1,306,149"
"2871","ニチレイ","東P","3455.0","+77.0(+2.28%)","3,455.0","443,846"
"2874","横浜冷凍","東P","847","+9.0(+1.07%)","847.0","50,199"
"2875","東洋水産","東P","9338.0","+643.0(+7.40%)","9,338.0","1,035,407"
"2882","イートアンドＨＬＤＧ","東P","2109","+1.0(+0.05%)","2,109.0","23,927"
"2884","ヨシムラ・フード・ＨＬＤＧ","東P","991","-32.0(-3.13%)","991.0","23,829"
"2897","日清食品ＨＬＤＧ","東P","2946.0","-44.0(-1.47%)","2,946.0","891,414"
"2908","フジッコ","東P","1643","+7.0(+0.43%)","1,643.0","49,373"
"2910","ロック・フィールド","東P","1589","-6.0(-0.38%)","1,589.0","42,567"
"2914","日本たばこ産業","東P","3723.0","-38.0(-1.01%)","3,723.0","7,446,000"
"2915","ケンコーマヨネーズ","東P","1876","-54.0(-2.80%)","1,876.0","30,909"
