"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","時価総額(百万円)"
"3903","ｇｕｍｉ","東P","580","+22.0(+3.94%)","580.0","28,705"
"3915","テラスカイ","東P","2446","-25.0(-1.01%)","2,446.0","31,598"
"3916","デジタル・インフォメーション","東P","2483","+114.0(+4.81%)","2,483.0","38,491"
"3921","ネオジャパン","東P","1695","-36.0(-2.08%)","1,695.0","23,846"
"3922","ＰＲ　ＴＩＭＥＳ","東P","2360","+9.0(+0.38%)","2,360.0","31,837"
"3923","ラクス","東P","2132.0","+41.0(+1.96%)","2,132.0","386,353"
"3924","ランドコンピュータ","東P","680","+5.0(+0.74%)","680.0","12,218"
"3925","ダブルスタンダード","東P","1661","-14.0(-0.84%)","1,661.0","22,556"
"3926","オープンドア","東P","621","+1.0(+0.16%)","621.0","19,412"
"3932","アカツキ","東P","2987","+7.0(+0.23%)","2,987.0","43,363"
"3937","Ｕｂｉｃｏｍ　ＨＬＤＧ","東P","1439","-15.0(-1.03%)","1,439.0","17,628"
"3939","カナミックネットワーク","東P","471","-2.0(-0.42%)","471.0","22,670"
"3941","レンゴー","東P","805.5","-9.9(-1.21%)","805.5","218,336"
"3946","トーモク","東P","2420","-14.0(-0.58%)","2,420.0","46,807"
"3950","ザ・パック","東P","3390","+30.0(+0.89%)","3,390.0","67,461"
"3962","チェンジＨＬＤＧ","東P","1346","-25.0(-1.82%)","1,346.0","99,405"
"3963","シンクロ・フード","東P","410","+7.0(+1.74%)","410.0","11,940"
"3964","オークネット","東P","2445","-82.0(-3.24%)","2,445.0","60,546"
"3968","セグエグループ","東P","466","-17.0(-3.52%)","466.0","15,872"
"3978","マクロミル","東P","1246","+0.0(+0.00%)","1,246.0","50,626"
"3983","オロ","東P","2745","+87.0(+3.27%)","2,745.0","44,349"
"3984","ユーザーローカル","東P","1873","+14.0(+0.75%)","1,873.0","30,365"
"3992","ニーズウェル","東P","406","-8.0(-1.93%)","406.0","16,524"
"3993","ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇ","東P","4135","-10.0(-0.24%)","4,135.0","132,105"
"3994","マネーフォワード","東P","4514.0","-38.0(-0.83%)","4,514.0","248,944"
"4004","レゾナック・ＨＬＤＧ","東P","3690.0","-14.0(-0.38%)","3,690.0","682,286"
"4005","住友化学","東P","353.2","+8.4(+2.44%)","353.2","585,329"
"4008","住友精化","東P","5050","+10.0(+0.20%)","5,050.0","70,635"
"4021","日産化学","東P","4440.0","-21.0(-0.47%)","4,440.0","611,832"
"4022","ラサ工業","東P","2713","+6.0(+0.22%)","2,713.0","21,553"
"4023","クレハ","東P","2811","-30.0(-1.06%)","2,811.0","155,823"
"4025","多木化学","東P","3495","-30.0(-0.85%)","3,495.0","33,058"
"4027","テイカ","東P","1549","-13.0(-0.83%)","1,549.0","37,043"
"4028","石原産業","東P","1700","-20.0(-1.16%)","1,700.0","68,653"
"4041","日本曹達","東P","2979","-20.0(-0.67%)","2,979.0","169,171"
"4042","東ソー","東P","2063.0","-1.5(-0.07%)","2,063.0","670,642"
"4043","トクヤマ","東P","2682.5","+9.0(+0.34%)","2,682.5","193,377"
"4044","セントラル硝子","東P","3265","+10.0(+0.31%)","3,265.0","84,890"
"4045","東亞合成","東P","1411.5","-14.5(-1.02%)","1,411.5","159,500"
"4046","大阪ソーダ","東P","1422","-34.0(-2.34%)","1,422.0","190,065"
"4047","関東電化工業","東P","897","+1.0(+0.11%)","897.0","51,619"
"4053","Ｓｕｎ　Ａｓｔｅｒｉｓｋ","東P","564","-9.0(-1.57%)","564.0","21,665"
"4061","デンカ","東P","2110.0","+2.0(+0.09%)","2,110.0","186,853"
"4062","イビデン","東P","3690.0","+46.0(+1.26%)","3,690.0","519,776"
"4063","信越化学工業","東P","4660.0","+46.0(+1.00%)","4,660.0","9,250,081"
"4064","日本カーバイド工業","東P","1949","+41.0(+2.15%)","1,949.0","18,359"
"4071","プラスアルファコンサルティング","東P","1541","-27.0(-1.72%)","1,541.0","65,493"
"4072","電算システムＨＬＤＧ","東P","2455","+29.0(+1.20%)","2,455.0","26,503"
"4078","堺化学工業","東P","2749","+14.0(+0.51%)","2,749.0","46,733"
"4082","第一稀元素化学工業","東P","702","-1.0(-0.14%)","702.0","17,129"
"4088","エア・ウォーター","東P","1908.5","-18.5(-0.96%)","1,908.5","438,488"
"4091","日本酸素ＨＤ","東P","4366.0","-44.0(-1.00%)","4,366.0","1,890,883"
"4092","日本化学工業","東P","2382","-53.0(-2.18%)","2,382.0","21,254"
"4093","東邦アセチレン","東P","359","-3.0(-0.83%)","359.0","12,572"
"4095","日本パーカライジング","東P","1281","-7.0(-0.54%)","1,281.0","169,866"
"4097","高圧ガス工業","東P","860","+12.0(+1.42%)","860.0","47,797"
"4099","四国化成ＨＬＤＧ","東P","1981","-10.0(-0.50%)","1,981.0","88,887"
"4109","ステラ　ケミファ","東P","4335","+15.0(+0.35%)","4,335.0","57,279"
"4112","保土谷化学工業","東P","3230","-5.0(-0.15%)","3,230.0","27,176"
"4114","日本触媒","東P","1881.0","+11.0(+0.59%)","1,881.0","293,436"
"4116","大日精化工業","東P","3075","-30.0(-0.97%)","3,075.0","57,235"
"4118","カネカ","東P","3764.0","-7.0(-0.19%)","3,764.0","248,424"
"4151","協和キリン","東P","2037.5","-20.0(-0.97%)","2,037.5","1,070,980"
"4180","Ａｐｐｉｅｒ　Ｇｒｏｕｐ","東P","1734","+51.0(+3.03%)","1,734.0","177,371"
"4182","三菱瓦斯化学","東P","2399.0","-21.0(-0.87%)","2,399.0","521,157"
"4183","三井化学","東P","3319.0","+16.0(+0.48%)","3,319.0","666,601"
"4186","東京応化工業","東P","3785.0","+72.0(+1.94%)","3,785.0","483,723"
"4187","大阪有機化学工業","東P","2607","-41.0(-1.55%)","2,607.0","58,423"
"4188","三菱ケミカルグループ","東P","762.6","-6.2(-0.81%)","762.6","1,148,695"
"4189","ＫＨネオケム","東P","2491","+33.0(+1.34%)","2,491.0","92,539"
"4194","ビジョナル","東P","7570.0","+2.0(+0.03%)","7,570.0","300,531"
"4202","ダイセル","東P","1322.0","-1.5(-0.11%)","1,322.0","366,118"
"4203","住友ベークライト","東P","3537.0","-72.0(-2.00%)","3,537.0","331,622"
"4204","積水化学工業","東P","2527.5","+14.0(+0.56%)","2,527.5","1,123,492"
"4205","日本ゼオン","東P","1527.5","+7.5(+0.49%)","1,527.5","350,582"
"4206","アイカ工業","東P","3342.0","-25.0(-0.74%)","3,342.0","225,888"
"4208","ＵＢＥ","東P","2228.5","-5.5(-0.25%)","2,228.5","236,667"
"4212","積水樹脂","東P","1869","-35.0(-1.84%)","1,869.0","59,460"
"4216","旭有機材","東P","4050","+5.0(+0.12%)","4,050.0","80,192"
"4218","ニチバン","東P","2048","-4.0(-0.19%)","2,048.0","42,471"
"4220","リケンテクノス","東P","1010","-6.0(-0.59%)","1,010.0","53,808"
"4221","大倉工業","東P","3595","-45.0(-1.24%)","3,595.0","44,631"
"4228","積水化成品工業","東P","356","+0.0(+0.00%)","356.0","16,728"
"4229","群栄化学工業","東P","2719","+8.0(+0.30%)","2,719.0","24,466"
"4246","ダイキョーニシカワ","東P","612","-6.0(-0.97%)","612.0","45,225"
"4249","森六ＨＬＤＧ","東P","2044","+14.0(+0.69%)","2,044.0","30,374"
"4251","恵和","東P","1218","+9.0(+0.74%)","1,218.0","23,489"
"4272","日本化薬","東P","1367.5","-6.5(-0.47%)","1,367.5","225,642"
"4275","カーリット","東P","1129","-15.0(-1.31%)","1,129.0","27,152"
"4290","プレステージ・インターナショナ","東P","726","+1.0(+0.14%)","726.0","93,419"
"4298","プロトコーポレーション","東P","2159","+29.0(+1.36%)","2,159.0","90,517"
"4301","アミューズ","東P","1568","+0.0(+0.00%)","1,568.0","29,202"
"4307","野村総合研究所","東P","5345.0","+8.0(+0.15%)","5,345.0","3,106,736"
"4310","ドリームインキュベータ","東P","4055","+65.0(+1.63%)","4,055.0","38,662"
"4318","クイック","東P","1928","-12.0(-0.62%)","1,928.0","36,822"
"4323","日本システム技術","東P","1958","-23.0(-1.16%)","1,958.0","48,631"
"4324","電通グループ","東P","3076.0","-15.0(-0.49%)","3,076.0","817,601"
"4326","インテージＨＬＤＧ","東P","1765","+8.0(+0.46%)","1,765.0","71,352"
"4331","テイクアンドギヴ・ニーズ","東P","965","-2.0(-0.21%)","965.0","14,108"
"4333","東邦システムサイエンス","東P","1225","+0.0(+0.00%)","1,225.0","25,479"
"4337","ぴあ","東P","3145","-20.0(-0.63%)","3,145.0","49,240"
"4343","イオンファンタジー","東P","3015","+21.0(+0.70%)","3,015.0","59,636"
"4344","ソースネクスト","東P","227","-4.0(-1.73%)","227.0","31,085"
"4345","シーティーエス","東P","820","-1.0(-0.12%)","820.0","34,440"
"4362","日本精化","東P","2220","-45.0(-1.99%)","2,220.0","56,327"
"4368","扶桑化学工業","東P","3595","+95.0(+2.71%)","3,595.0","127,662"
"4369","トリケミカル研究所","東P","3870","+120.0(+3.20%)","3,870.0","125,770"
"4373","シンプレクス・ＨＬＤＧ","東P","2935","+20.0(+0.69%)","2,935.0","171,763"
"4384","ラクスル","東P","1245","-7.0(-0.56%)","1,245.0","73,645"
"4385","メルカリ","東P","2301.5","+9.5(+0.41%)","2,301.5","378,164"
"4390","ＩＰＳ","東P","2526","-40.0(-1.56%)","2,526.0","32,660"
"4392","ＦＩＧ","東P","279","-7.0(-2.45%)","279.0","8,781"
"4396","システムサポートＨＬＤＧ","東P","2145","+24.0(+1.13%)","2,145.0","22,308"
"4401","ＡＤＥＫＡ","東P","2802.5","+8.5(+0.30%)","2,802.5","290,810"
"4403","日油","東P","2137.5","+47.5(+2.27%)","2,137.5","518,395"
"4410","ハリマ化成グループ","東P","865","-2.0(-0.23%)","865.0","22,560"
"4432","ウイングアーク１ｓｔ","東P","3570","-10.0(-0.28%)","3,570.0","124,655"
"4433","ヒト・コミュニケーションズＨＤ","東P","939","-1.0(-0.11%)","939.0","16,807"
"4443","Ｓａｎｓａｎ","東P","2397","-62.0(-2.52%)","2,397.0","302,664"
"4446","Ｌｉｎｋ−Ｕグループ","東P","400","+1.0(+0.25%)","400.0","5,669"
"4449","ギフティ","東P","1595","+202.0(+14.50%)","1,595.0","47,270"
"4452","花王","東P","6378.0","-78.0(-1.21%)","6,378.0","2,971,510"
"4461","第一工業製薬","東P","2767","-21.0(-0.75%)","2,767.0","29,564"
"4462","石原ケミカル","東P","2167","-17.0(-0.78%)","2,167.0","32,838"
"4471","三洋化成工業","東P","4010","-5.0(-0.12%)","4,010.0","94,374"
"4480","メドレー","東P","3040","+5.0(+0.16%)","3,040.0","99,525"
"4481","ベース","東P","3360","+140.0(+4.35%)","3,360.0","63,145"
"4483","ＪＭＤＣ","東P","3215.0","-70.0(-2.13%)","3,215.0","210,141"
"4502","武田薬品工業","東P","4185.0","-39.0(-0.92%)","4,185.0","6,658,076"
"4503","アステラス製薬","東P","1460.5","-15.5(-1.05%)","1,460.5","2,643,013"
"4506","住友ファーマ","東P","785","-9.0(-1.13%)","785.0","312,352"
"4507","塩野義製薬","東P","2210.0","+6.0(+0.27%)","2,210.0","1,966,087"
"4516","日本新薬","東P","3937.0","+6.0(+0.15%)","3,937.0","276,580"
"4519","中外製薬","東P","7405.0","+1.0(+0.01%)","7,405.0","12,433,424"
"4521","科研製薬","東P","4491.0","+32.0(+0.72%)","4,491.0","206,315"
"4523","エーザイ","東P","4316.0","-56.0(-1.28%)","4,316.0","1,258,758"
"4526","理研ビタミン","東P","2348","-6.0(-0.25%)","2,348.0","79,140"
"4527","ロート製薬","東P","2352.0","+53.0(+2.31%)","2,352.0","555,491"
"4528","小野薬品工業","東P","1517.0","+1.0(+0.07%)","1,517.0","756,517"
"4530","久光製薬","東P","4316.0","-17.0(-0.39%)","4,316.0","367,572"
"4534","持田製薬","東P","3170","-65.0(-2.01%)","3,170.0","118,780"
"4536","参天製薬","東P","1379.5","+23.0(+1.70%)","1,379.5","478,746"
"4538","扶桑薬品工業","東P","2465","+8.0(+0.33%)","2,465.0","23,297"
"4540","ツムラ","東P","4382.0","-18.0(-0.41%)","4,382.0","336,355"
"4543","テルモ","東P","2746.5","-55.5(-1.98%)","2,746.5","4,066,358"
"4544","Ｈ．Ｕ．グループＨＬＤＧ","東P","2639.5","+23.5(+0.90%)","2,639.5","151,702"
"4547","キッセイ薬品工業","東P","3610","-45.0(-1.23%)","3,610.0","172,959"
"4548","生化学工業","東P","777","-4.0(-0.51%)","777.0","44,145"
"4549","栄研化学","東P","2177","-66.0(-2.94%)","2,177.0","83,905"
"4551","鳥居薬品","東P","4280","-50.0(-1.15%)","4,280.0","123,264"
"4552","ＪＣＲファーマ","東P","549","-29.0(-5.02%)","549.0","71,198"
"4553","東和薬品","東P","2931","-63.0(-2.10%)","2,931.0","150,993"
"4554","富士製薬工業","東P","1379","-1.0(-0.07%)","1,379.0","34,221"
"4559","ゼリア新薬工業","東P","2033","+3.0(+0.15%)","2,033.0","107,991"
"4565","ネクセラファーマ","東P","867","-20.0(-2.25%)","867.0","77,946"
"4568","第一三共","東P","3502.0","-119.0(-3.29%)","3,502.0","6,682,944"
"4569","杏林製薬","東P","1364","-7.0(-0.51%)","1,364.0","88,125"
"4574","大幸薬品","東P","294","+2.0(+0.68%)","294.0","14,887"
"4577","ダイト","東P","2057","-4.0(-0.19%)","2,057.0","31,572"
"4578","大塚ＨＬＤＧ","東P","7270.0","-213.0(-2.85%)","7,270.0","4,013,220"
"4587","ペプチドリーム","東P","2155.5","-51.5(-2.33%)","2,155.5","280,237"
"4611","大日本塗料","東P","1247","-13.0(-1.03%)","1,247.0","37,049"
"4612","日本ペイントＨＬＤＧ","東P","1035.0","+4.5(+0.44%)","1,035.0","2,453,480"
"4613","関西ペイント","東P","2196.0","+24.5(+1.13%)","2,196.0","410,518"
"4617","中国塗料","東P","2195","-24.0(-1.08%)","2,195.0","120,725"
"4626","太陽ＨＬＤＧ","東P","4110","+280.0(+7.31%)","4,110.0","239,899"
"4631","ＤＩＣ","東P","3312.0","+82.0(+2.54%)","3,312.0","315,160"
"4633","サカタインクス","東P","1801","-24.0(-1.32%)","1,801.0","97,564"
"4634","ａｒｔｉｅｎｃｅ","東P","3045","-75.0(-2.40%)","3,045.0","162,258"
"4641","アルプス技研","東P","2541","-24.0(-0.94%)","2,541.0","55,258"
"4658","日本空調サービス","東P","999","+4.0(+0.40%)","999.0","35,748"
"4661","オリエンタルランド","東P","3103.0","-71.0(-2.24%)","3,103.0","5,586,799"
"4662","フォーカスシステムズ","東P","1089","-6.0(-0.55%)","1,089.0","17,743"
"4665","ダスキン","東P","3702.0","-58.0(-1.54%)","3,702.0","185,100"
"4666","パーク２４","東P","2046.5","-6.5(-0.32%)","2,046.5","350,051"
"4668","明光ネットワークジャパン","東P","746","+0.0(+0.00%)","746.0","20,741"
"4674","クレスコ","東P","1138","+6.0(+0.53%)","1,138.0","50,072"
"4676","フジ・メディアＨＬＤＧ","東P","2817.0","-33.0(-1.16%)","2,817.0","659,726"
"4680","ラウンドワン","東P","1238","-48.0(-3.73%)","1,238.0","357,010"
"4681","リゾートトラスト","東P","3160.0","+32.0(+1.02%)","3,160.0","342,926"
"4684","オービック","東P","4537.0","+29.0(+0.64%)","4,537.0","2,259,426"
"4686","ジャストシステム","東P","3570","+150.0(+4.39%)","3,570.0","229,283"
"4687","ＴＤＣソフト","東P","1403","+33.0(+2.41%)","1,403.0","70,469"
"4689","ＬＩＮＥヤフー","東P","490.2","+0.6(+0.12%)","490.2","3,505,915"
"4694","ビー・エム・エル","東P","2912","-14.0(-0.48%)","2,912.0","123,161"
"4704","トレンドマイクロ","東P","11790.0","+110.0(+0.94%)","11,790.0","1,661,230"
"4709","ＩＤ　ＨＬＤＧ","東P","1904","+39.0(+2.09%)","1,904.0","34,399"
"4714","リソー教育","東P","278","+0.0(+0.00%)","278.0","47,762"
"4718","早稲田アカデミー","東P","2006","-8.0(-0.40%)","2,006.0","38,139"
"4719","アルファシステムズ","東P","3420","+55.0(+1.63%)","3,420.0","48,059"
"4722","フューチャー","東P","1862","+4.0(+0.22%)","1,862.0","177,501"
"4725","ＣＡＣ　ＨＬＤＧ","東P","2034","+7.0(+0.35%)","2,034.0","41,781"
"4732","ユー・エス・エス","東P","1382.0","-11.0(-0.79%)","1,382.0","710,348"
"4733","オービックビジネスコンサルタン","東P","7380.0","+1.0(+0.01%)","7,380.0","556,482"
"4743","アイティフォー","東P","1286","-23.0(-1.76%)","1,286.0","36,795"
"4751","サイバーエージェント","東P","1186.0","+29.5(+2.55%)","1,186.0","600,626"
"4755","楽天グループ","東P","999.9","+56.2(+5.96%)","999.9","2,154,269"
"4763","クリーク・アンド・リバー社","東P","1743","-7.0(-0.40%)","1,743.0","40,105"
"4765","ＳＢＩグローバルアセットマネジ","東P","706","+2.0(+0.28%)","706.0","63,310"
"4768","大塚商会","東P","3531.0","-47.0(-1.31%)","3,531.0","1,341,795"
"4776","サイボウズ","東P","3175","+30.0(+0.95%)","3,175.0","167,506"
"4784","ＧＭＯインターネット","東P","1203","-111.0(-8.45%)","1,203.0","330,462"
"4792","山田コンサルティンググループ","東P","1775","-7.0(-0.39%)","1,775.0","35,315"
"4801","セントラルスポーツ","東P","2427","+6.0(+0.25%)","2,427.0","27,829"
"4809","パラカ","東P","1838","-12.0(-0.65%)","1,838.0","19,059"
"4812","電通総研","東P","6180","-10.0(-0.16%)","6,180.0","402,828"
"4813","ＡＣＣＥＳＳ","東P","1079","-3.0(-0.28%)","1,079.0","43,119"
"4819","デジタルガレージ","東P","4515","+90.0(+2.03%)","4,515.0","215,116"
"4820","イーエムシステムズ","東P","802","+10.0(+1.26%)","802.0","56,553"
"4825","ウェザーニューズ","東P","3570","+60.0(+1.71%)","3,570.0","84,566"
"4826","ＣＩＪ","東P","486","-2.0(-0.41%)","486.0","32,464"
"4828","ビジネスエンジニアリング","東P","4060","+10.0(+0.25%)","4,060.0","48,720"
"4839","ＷＯＷＯＷ","東P","1010","+4.0(+0.40%)","1,010.0","29,133"
"4845","スカラ","東P","419","+4.0(+0.96%)","419.0","7,441"
"4847","インテリジェント　ウェイブ","東P","1118","-2.0(-0.18%)","1,118.0","29,448"
"4848","フルキャストＨＬＤＧ","東P","1579","-31.0(-1.93%)","1,579.0","59,191"
"4849","エン・ジャパン","東P","1714","+19.0(+1.12%)","1,714.0","85,213"
"4880","セルソース","東P","828","+3.0(+0.36%)","828.0","16,405"
"4886","あすか製薬ＨＬＤＧ","東P","1959","+9.0(+0.46%)","1,959.0","59,873"
"4887","サワイグループＨＬＤＧ","東P","2067.0","+1.5(+0.07%)","2,067.0","271,747"
"4901","富士フイルムＨＬＤＧ","東P","3136.0","-119.0(-3.66%)","3,136.0","3,900,798"
"4902","コニカミノルタ","東P","540.5","-6.1(-1.12%)","540.5","271,690"
"4911","資生堂","東P","2641.0","+280.0(+11.86%)","2,641.0","1,056,400"
"4912","ライオン","東P","1823.5","-37.0(-1.99%)","1,823.5","518,663"
"4914","高砂香料工業","東P","6660","+10.0(+0.15%)","6,660.0","134,215"
"4917","マンダム","東P","1283","-10.0(-0.77%)","1,283.0","61,929"
"4919","ミルボン","東P","2959","+18.0(+0.61%)","2,959.0","97,994"
"4922","コーセー","東P","6245.0","+245.0(+4.08%)","6,245.0","378,400"
"4923","コタ","東P","1554","-7.0(-0.45%)","1,554.0","51,180"
"4927","ポーラ・オルビスＨＬＤＧ","東P","1227.0","+35.5(+2.98%)","1,227.0","281,150"
"4928","ノエビアＨＬＤＧ","東P","4220","+15.0(+0.36%)","4,220.0","144,141"
"4931","新日本製薬","東P","2233","+55.0(+2.53%)","2,233.0","48,803"
"4933","Ｉ−ｎｅ","東P","1678","-43.0(-2.50%)","1,678.0","29,842"
"4936","アクシージア","東P","435","+0.0(+0.00%)","435.0","10,487"
"4951","エステー","東P","1493","+1.0(+0.07%)","1,493.0","40,555"
"4956","コニシ","東P","1239","+22.0(+1.81%)","1,239.0","87,244"
"4958","長谷川香料","東P","2719","-62.0(-2.23%)","2,719.0","116,123"
"4967","小林製薬","東P","5710.0","-30.0(-0.52%)","5,710.0","445,666"
"4968","荒川化学工業","東P","1183","+8.0(+0.68%)","1,183.0","24,432"
"4971","メック","東P","2685","-7.0(-0.26%)","2,685.0","53,891"
"4973","日本高純度化学","東P","3145","-5.0(-0.16%)","3,145.0","19,081"
"4974","タカラバイオ","東P","895","-10.0(-1.10%)","895.0","107,772"
"4975","ＪＣＵ","東P","3835","-35.0(-0.90%)","3,835.0","103,349"
"4980","デクセリアルズ","東P","2245.5","-22.0(-0.97%)","2,245.5","401,146"
"4985","アース製薬","東P","5060","-20.0(-0.39%)","5,060.0","112,382"
"4996","クミアイ化学工業","東P","767","+4.0(+0.52%)","767.0","102,153"
"4997","日本農薬","東P","760","-7.0(-0.91%)","760.0","62,295"
"5011","ニチレキグループ","東P","2306","+4.0(+0.17%)","2,306.0","73,068"
"5017","富士石油","東P","322","+4.0(+1.26%)","322.0","25,175"
"5019","出光興産","東P","1022.0","+1.5(+0.15%)","1,022.0","1,423,280"
"5020","ＥＮＥＯＳ　ＨＬＤＧ","東P","839.0","+0.2(+0.02%)","839.0","2,544,562"
"5021","コスモエネルギーＨＬＤＧ","東P","6777.0","+144.0(+2.17%)","6,777.0","598,773"
"5032","ＡＮＹＣＯＬＯＲ","東P","3235","-85.0(-2.56%)","3,235.0","196,760"
"5074","テスＨＬＤＧ","東P","279","-1.0(-0.36%)","279.0","19,710"
"5076","インフロニア・ＨＬＤＧ","東P","1158.0","+8.5(+0.74%)","1,158.0","341,431"
"5101","横浜ゴム","東P","3603.0","-21.0(-0.58%)","3,603.0","610,885"
"5105","ＴＯＹＯ　ＴＩＲＥ","東P","2580.5","-21.0(-0.81%)","2,580.5","397,683"
"5108","ブリヂストン","東P","5832.0","-42.0(-0.72%)","5,832.0","4,162,288"
"5110","住友ゴム工業","東P","1738.0","-20.5(-1.17%)","1,738.0","457,169"
"5121","藤倉コンポジット","東P","1468","-35.0(-2.33%)","1,468.0","34,419"
"5122","オカモト","東P","5090","-80.0(-1.55%)","5,090.0","91,108"
"5142","アキレス","東P","1484","-21.0(-1.40%)","1,484.0","21,611"
"5185","フコク","東P","1628","-1.0(-0.06%)","1,628.0","28,668"
"5186","ニッタ","東P","3665","-15.0(-0.41%)","3,665.0","107,284"
"5191","住友理工","東P","1718","-37.0(-2.11%)","1,718.0","178,746"
"5192","三ツ星ベルト","東P","3875","+10.0(+0.26%)","3,875.0","120,529"
"5195","バンドー化学","東P","1759","-12.0(-0.68%)","1,759.0","77,772"
"5201","ＡＧＣ","東P","4496.0","+140.0(+3.21%)","4,496.0","977,586"
"5202","日本板硝子","東P","384","+5.0(+1.32%)","384.0","35,149"
"5208","有沢製作所","東P","1440","+0.0(+0.00%)","1,440.0","48,385"
"5214","日本電気硝子","東P","3570.0","+70.0(+2.00%)","3,570.0","319,598"
"5232","住友大阪セメント","東P","3498.0","-3.0(-0.09%)","3,498.0","116,263"
"5233","太平洋セメント","東P","4061.0","-36.0(-0.88%)","4,061.0","479,976"
"5261","リソルＨＬＤＧ","東P","5410","+50.0(+0.93%)","5,410.0","30,102"
"5262","日本ヒューム","東P","1888","+133.0(+7.58%)","1,888.0","55,408"
"5269","日本コンクリート工業","東P","366","+1.0(+0.27%)","366.0","21,147"
"5288","アジアパイルＨＬＤＧ","東P","908","+17.0(+1.91%)","908.0","34,586"
"5301","東海カーボン","東P","912.7","+7.4(+0.82%)","912.7","205,306"
"5302","日本カーボン","東P","4090","+20.0(+0.49%)","4,090.0","48,395"
"5310","東洋炭素","東P","4010","-55.0(-1.35%)","4,010.0","84,180"
"5331","ノリタケ","東P","3575","+0.0(+0.00%)","3,575.0","106,126"
"5332","ＴＯＴＯ","東P","3792.0","+20.0(+0.53%)","3,792.0","671,113"
"5333","日本碍子","東P","1875.0","-27.0(-1.42%)","1,875.0","558,669"
"5334","日本特殊陶業","東P","4475.0","-40.0(-0.89%)","4,475.0","891,633"
"5344","ＭＡＲＵＷＡ","東P","38490.0","-140.0(-0.36%)","38,490.0","476,198"
"5351","品川リフラクトリーズ","東P","1778","+24.0(+1.37%)","1,778.0","83,827"
"5352","黒崎播磨","東P","2615","+38.0(+1.47%)","2,615.0","95,338"
"5357","ヨータイ","東P","1701","-14.0(-0.82%)","1,701.0","33,329"
"5384","フジミインコーポレーテッド","東P","2106","+36.0(+1.74%)","2,106.0","168,687"
"5393","ニチアス","東P","4557.0","-38.0(-0.83%)","4,557.0","309,019"
"5401","日本製鉄","東P","3373.0","-13.0(-0.38%)","3,373.0","3,625,054"
"5406","神戸製鋼所","東P","1757.0","+19.5(+1.12%)","1,757.0","696,380"
"5408","中山製鋼所","東P","767","+0.0(+0.00%)","767.0","48,382"
"5410","合同製鐵","東P","3925","-40.0(-1.01%)","3,925.0","67,295"
"5411","ＪＦＥＨＬＤＧ","東P","1796.0","+21.5(+1.21%)","1,796.0","1,148,431"
"5423","東京製鐵","東P","1562","+4.0(+0.26%)","1,562.0","171,920"
"5440","共英製鋼","東P","1988","+4.0(+0.20%)","1,988.0","89,259"
"5444","大和工業","東P","8213.0","-28.0(-0.34%)","8,213.0","533,845"
"5445","東京鐵鋼","東P","5930","-40.0(-0.67%)","5,930.0","55,536"
"5451","淀川製鋼所","東P","5960","-20.0(-0.33%)","5,960.0","189,750"
"5461","中部鋼鈑","東P","2211","-46.0(-2.04%)","2,211.0","66,772"
"5463","丸一鋼管","東P","3488.0","-16.0(-0.46%)","3,488.0","292,992"
"5471","大同特殊鋼","東P","1205.0","+13.0(+1.09%)","1,205.0","261,779"
"5480","日本冶金工業","東P","4245","+20.0(+0.47%)","4,245.0","65,786"
"5481","山陽特殊製鋼","東P","2744","+0.0(+0.00%)","2,744.0","149,568"
"5482","愛知製鋼","東P","7180","-160.0(-2.18%)","7,180.0","142,786"
"5535","ミガロＨＬＤＧ","東P","6440","+290.0(+4.72%)","6,440.0","94,705"
"5541","大平洋金属","東P","1596","+47.0(+3.03%)","1,596.0","31,245"
"5563","新日本電工","東P","281","-2.0(-0.71%)","281.0","38,580"
"5602","栗本鐵工所","東P","4850","+80.0(+1.68%)","4,850.0","62,073"
"5631","日本製鋼所","東P","5481.0","-111.0(-1.98%)","5,481.0","407,836"
"5632","三菱製鋼","東P","1680","+3.0(+0.18%)","1,680.0","26,393"
"5659","日本精線","東P","1336","-19.0(-1.40%)","1,336.0","41,770"
"5698","エンビプロＨＬＤＧ","東P","390","+1.0(+0.26%)","390.0","11,824"
"5702","大紀アルミニウム工業所","東P","1009","+3.0(+0.30%)","1,009.0","44,022"
"5703","日本軽金属ＨＬＤＧ","東P","1589","+5.0(+0.32%)","1,589.0","98,508"
"5706","三井金属鉱業","東P","4380.0","-88.0(-1.97%)","4,380.0","251,331"
"5707","東邦亜鉛","東P","624","+43.0(+7.40%)","624.0","8,477"
"5711","三菱マテリアル","東P","2374.0","-11.0(-0.46%)","2,374.0","312,156"
"5713","住友金属鉱山","東P","3404.0","-49.0(-1.42%)","3,404.0","989,931"
"5714","ＤＯＷＡ　ＨＬＤＧ","東P","4626.0","+36.0(+0.78%)","4,626.0","286,762"
"5715","古河機械金属","東P","2273","-61.0(-2.61%)","2,273.0","91,933"
"5726","大阪チタニウムテクノロジーズ","東P","1956","-62.0(-3.07%)","1,956.0","71,981"
"5727","東邦チタニウム","東P","998","-15.0(-1.48%)","998.0","71,128"
"5741","ＵＡＣＪ","東P","5190","+300.0(+6.13%)","5,190.0","250,823"
"5757","ＣＫサンエツ","東P","3905","-55.0(-1.39%)","3,905.0","34,626"
"5801","古河電気工業","東P","7223.0","-71.0(-0.97%)","7,223.0","510,427"
